Time,CPIH,CPI,Unemployment Rate,GDP Growth,Productivity,Labour Costs,Wage Costs,Labour Comp,M1 Growth,M3 Growth,Bank Rate,Import Growth,90D IB Rates,10Y Gilts,GBP Eff Gr,GBP Gr LabCst,GBP Gr CPI,Retail Sales
1997 Q1,2.4,1.9,7.3,0,1.6,0.7,2.1,0.8,3.15703380588877,0.260335606553666,5.94,-1.00321500109411,6.33584,7.40193333333333,3.978373377,5.44222785025988,4.48641976283939,6.9
1997 Q2,2.1,1.6,7.2,0.6,1.8,2.3,1.8,2.6,12.4404038268407,0.254014845756541,6.23,4.95674016187552,6.55037666666667,7.31596666666667,2.48475250776148,5.08199027692639,3.14937010125985,0.1
1997 Q3,2.3,1.9,6.8,3.1,2,1.3,1.2,1.7,1.95932796179122,0.256186481236452,6.92,-1.18731053555284,7.19393333333333,6.98953333333333,2.41576089247919,4.29574873769944,2.98776725931716,-1.1
1997 Q4,2.1,1.8,6.5,-1.1,1.6,0.1,-0.1,1.3,2.73805023037367,0.258339885431877,7.17,3.78234368062003,7.56674,6.50293333333333,1.24644032246279,1.61618499538361,2.00148020482769,1
1998 Q1,1.8,1.6,6.4,1.5,1.2,-0.9,-0.7,-0.5,3.4668764902812,0.25767421017253,7.25,2.86399585116038,7.56537,6.0453,2.15357842070916,2.44700673766093,2.77435130664308,3.5
1998 Q2,2,1.8,6.3,1.5,0.7,1.7,1.4,2.2,2.03621937502349,0.251424740194435,7.33,2.6884634290828,7.57913,5.82133333333333,-0.112344568453562,0.450007234025527,0.0895985400822894,7.2
1998 Q3,1.7,1.4,6.2,1.2,0.8,1.5,1.4,1.5,0.437827130546165,0.253580783592487,7.5,1.02857423409269,7.66738,5.51783333333333,-0.342294147826053,0.728222752453601,-0.183737908112908,6.9
1998 Q4,1.7,1.4,6.1,2.6,0.4,-0.2,-0.3,1.2,2.23404735570955,0.255718931539595,6.75,0.08625926375896,6.88514333333334,4.81936666666667,-2.97377294005571,-3.60192716925947,-2.68760419450328,8.5
1999 Q1,2,1.6,6.2,0.7,0.5,1.9,1.6,2.1,1.80796043516898,0.255066677756522,5.67,3.31387091683762,5.62551666666667,4.45803333333333,0.0916930241183547,3.03253859116523,0.423860657241642,0
1999 Q2,1.8,1.4,6,-0.3,0.7,2.3,2.7,2.4,3.23887956670362,0.248886922374934,5.17,1.47454500593343,5.29587333333333,4.89013333333333,1.96249176548089,3.96004634360875,2.63035395812657,3.6
1999 Q3,1.6,1.2,5.9,1.1,0.8,0.3,0.2,1.3,1.39008142505665,0.251027557860473,5.08,3.28254174096288,5.27722333333333,5.49806666666667,-0.391081642583278,-0.108491143123968,-0.536268295802984,4
1999 Q4,1.5,1.1,5.8,1.5,1.6,0.2,0.4,1.1,3.37679827003509,0.25315062462165,5.42,1.95289290478806,5.98448333333333,5.52786666666667,1.89143336657504,1.76344700424454,1.96194208730452,1.5
2000 Q1,1.1,0.8,5.8,2.2,-0.4,-0.3,-0.6,2,3.54206436290941,0.252511390459461,5.92,1.00282594592217,6.20083666666667,5.60936666666667,1.65709312445606,0.667980831084743,0.852646256468736,-0.2
2000 Q2,1,0.6,5.5,1.2,0.5,1.8,1.6,1.3,4.42328211307169,0.249137600613262,6,2.79353328615753,6.27561666666667,5.31143333333333,-1.19487101713739,0.786972382616,-0.687658831979282,-3.2
2000 Q3,1.2,0.8,5.3,1,0.1,1.5,1.9,2,2.13487181269477,0.248518447715542,6,2.37870812637019,6.20523333333333,5.3191,-1.62919640372619,-0.761890863132331,-2.08671217825687,1.8
2000 Q4,1.4,1,5.2,0.5,0.7,2,1.4,1.7,4.12015181178243,0.25062656641604,6,3.23067851490167,6.06814,5.076,0.805942593451982,2.45051007227619,1.11910358235787,3.7
2001 Q1,1.3,0.9,5.1,0.9,1.8,1.3,1.1,2.4,3.82682130243523,0.25,5.83,2.31385910411865,5.71786333333333,4.79163333333333,-1.99934689931964,-1.81589277183159,-3.31989142031629,16.9
2001 Q2,1.8,1.5,5,2,1.2,-0.2,0.5,-0.6,1.49726672752264,0.243955329068633,5.33,0.936346095456371,5.30387,5.08573333333333,1.11244033765525,0.26250425805578,1.88400206548475,25.8
2001 Q3,1.8,1.5,5.1,0.2,1,0,0.1,0.5,3.23236917733165,0.246065653561192,5,-1.71849983018776,4.99346666666667,5.0589,0.0323499682043145,-0.879636165627744,-0.0628955492861341,26.3
