"Time","Employment rate (aged 16 to 64, seasonally adjusted): %"
"1989 Q1",72.1
"1989 Q2",72.4
"1989 Q3",72.6
"1989 Q4",72.8
"1990 Q1",72.8
"1990 Q2",72.8
"1990 Q3",72.7
"1990 Q4",72.3
"1991 Q1",71.7
"1991 Q2",71.0
"1991 Q3",70.3
"1991 Q4",69.8
"1992 Q1",69.4
"1992 Q2",69.1
"1992 Q3",68.9
"1992 Q4",68.5
"1993 Q1",68.4
"1993 Q2",68.4
"1993 Q3",68.5
"1993 Q4",68.5
"1994 Q1",68.7
"1994 Q2",68.8
"1994 Q3",69.0
"1994 Q4",69.1
"1995 Q1",69.2
"1995 Q2",69.4
"1995 Q3",69.6
"1995 Q4",69.9
"1996 Q1",69.9
"1996 Q2",69.9
"1996 Q3",70.0
"1996 Q4",70.3
"1997 Q1",70.8
"1997 Q2",71.0
"1997 Q3",71.1
"1997 Q4",71.2
"1998 Q1",71.3
"1998 Q2",71.3
"1998 Q3",71.6
"1998 Q4",71.8
"1999 Q1",71.9
"1999 Q2",71.9
"1999 Q3",72.1
"1999 Q4",72.3
"2000 Q1",72.3
"2000 Q2",72.5
"2000 Q3",72.6
"2000 Q4",72.5
"2001 Q1",72.6
"2001 Q2",72.7
"2001 Q3",72.5
"2001 Q4",72.6
"2002 Q1",72.5
"2002 Q2",72.7
"2002 Q3",72.6
"2002 Q4",72.9
"2003 Q1",72.7
"2003 Q2",72.9
"2003 Q3",72.8
"2003 Q4",72.8
"2004 Q1",73.0
"2004 Q2",72.9
"2004 Q3",72.9
"2004 Q4",73.0
"2005 Q1",73.1
"2005 Q2",72.9
"2005 Q3",73.0
"2005 Q4",72.7
"2006 Q1",72.9
"2006 Q2",72.8
"2006 Q3",72.8
"2006 Q4",72.7
"2007 Q1",72.5
"2007 Q2",72.7
"2007 Q3",72.7
"2007 Q4",72.9
"2008 Q1",73.0
"2008 Q2",72.9
"2008 Q3",72.4
"2008 Q4",72.2
"2009 Q1",71.7
"2009 Q2",70.8
"2009 Q3",70.6
"2009 Q4",70.6
"2010 Q1",70.2
"2010 Q2",70.4
"2010 Q3",70.7
"2010 Q4",70.4
"2011 Q1",70.5
"2011 Q2",70.5
"2011 Q3",70.1
"2011 Q4",70.2
"2012 Q1",70.5
"2012 Q2",70.9
"2012 Q3",71.1
"2012 Q4",71.4
"2013 Q1",71.2
"2013 Q2",71.3
"2013 Q3",71.7
"2013 Q4",72.0
"2014 Q1",72.5
"2014 Q2",72.8
"2014 Q3",73.0
"2014 Q4",73.2
"2015 Q1",73.4
"2015 Q2",73.4
"2015 Q3",73.8
"2015 Q4",74.1
"2016 Q1",74.1
"2016 Q2",74.4
"2016 Q3",74.4
"2016 Q4",74.6
"2017 Q1",74.8
"2017 Q2",75.1
"2017 Q3",75.0
"2017 Q4",75.2
"2018 Q1",75.6
"2018 Q2",75.5
"2018 Q3",75.6
"2018 Q4",75.8
"2019 Q1",76.1
"2019 Q2",76.1
"2019 Q3",76.0
"2019 Q4",76.5
"2020 Q1",76.3
"2020 Q2",75.7
"2020 Q3",74.9
"2020 Q4",74.6
"2021 Q1",74.7
"2021 Q2",75.0
"2021 Q3",75.3
"2021 Q4",75.5
"2022 Q1",75.6
