"Title","Interest four quarter growth rate %                                     "
"CDID","KGS6"
"Source dataset ID","QNA"
"PreUnit",""
"Unit","%"
"Release date","23-12-2016"
"Next release","26 January 2017"
"Important notes",
"1988 Q1","21.5"
"1988 Q2","46.1"
"1988 Q3","52.5"
"1988 Q4","17.2"
"1989 Q1","77.8"
"1989 Q2","86.1"
"1989 Q3","64.9"
"1989 Q4","53.7"
"1990 Q1","48.0"
"1990 Q2","38.4"
"1990 Q3","29.1"
"1990 Q4","11.2"
"1991 Q1","21.3"
"1991 Q2","9.4"
"1991 Q3","3.3"
"1991 Q4","7.3"
"1992 Q1","27.3"
"1992 Q2","-14.6"
"1992 Q3","-30.0"
"1992 Q4","-34.1"
"1993 Q1","-49.7"
"1993 Q2","-29.0"
"1993 Q3","-4.3"
"1993 Q4","-1.7"
"1994 Q1","-5.3"
"1994 Q2","-1.2"
"1994 Q3","-6.5"
"1994 Q4","2.8"
"1995 Q1","13.5"
"1995 Q2","25.3"
"1995 Q3","23.3"
"1995 Q4","21.9"
"1996 Q1","1.7"
"1996 Q2","-7.7"
"1996 Q3","-5.3"
"1996 Q4","-10.7"
"1997 Q1","25.2"
"1997 Q2","28.8"
"1997 Q3","27.6"
"1997 Q4","41.5"
"1998 Q1","10.8"
"1998 Q2","7.3"
"1998 Q3","14.5"
"1998 Q4","3.8"
"1999 Q1","5.9"
"1999 Q2","3.3"
"1999 Q3","-5.5"
"1999 Q4","5.3"
"2000 Q1","11.0"
"2000 Q2","25.5"
"2000 Q3","28.7"
"2000 Q4","19.6"
"2001 Q1","20.5"
"2001 Q2","2.6"
"2001 Q3","-1.0"
"2001 Q4","-10.7"
"2002 Q1","-7.2"
"2002 Q2","-11.9"
"2002 Q3","-8.9"
"2002 Q4","2.3"
"2003 Q1","-3.1"
"2003 Q2","4.4"
"2003 Q3","-0.1"
"2003 Q4","-0.1"
"2004 Q1","-0.5"
"2004 Q2","8.5"
"2004 Q3","18.3"
"2004 Q4","16.8"
"2005 Q1","12.8"
"2005 Q2","15.1"
"2005 Q3","8.7"
"2005 Q4","14.2"
"2006 Q1","14.4"
"2006 Q2","13.3"
"2006 Q3","19.6"
"2006 Q4","17.4"
"2007 Q1","19.9"
"2007 Q2","17.3"
"2007 Q3","17.6"
"2007 Q4","22.0"
"2008 Q1","24.7"
"2008 Q2","18.8"
"2008 Q3","10.9"
"2008 Q4","0.1"
"2009 Q1","-29.1"
"2009 Q2","-37.8"
"2009 Q3","-46.9"
"2009 Q4","-50.5"
"2010 Q1","-41.0"
"2010 Q2","-33.0"
"2010 Q3","-24.7"
"2010 Q4","-12.1"
"2011 Q1","-5.9"
"2011 Q2","-3.9"
"2011 Q3","4.0"
"2011 Q4","-1.9"
"2012 Q1","15.0"
"2012 Q2","9.2"
"2012 Q3","7.6"
"2012 Q4","-1.4"
"2013 Q1","-7.5"
"2013 Q2","-8.0"
"2013 Q3","-13.1"
"2013 Q4","-6.3"
"2014 Q1","-7.3"
"2014 Q2","5.5"
"2014 Q3","13.0"
"2014 Q4","27.5"
"2015 Q1","-3.3"
"2015 Q2","-10.8"
"2015 Q3","-13.2"
"2015 Q4","-25.1"
"2016 Q1","6.2"
"2016 Q2","5.9"
"2016 Q3","12.1"
